word_uk,value,len,word_en
матерія,50,7,matter
мерщій,50,6,swift
мотель,50,6,motel
навпроти,50,8,opposite
падіння,50,7,fall
стежити,50,7,follow
удача,50,5,luck
урод,50,4,freak
щит,50,3,shield
буря,49,4,storm
ведмідь,49,7,bear
велосипед,49,9,bicycle
відійти,49,7,to move away
відсутність,49,11,absence
військовий,49,10,military
всемогутній,49,11,omnipotent
дванадцять,49,10,twelve
д-р,49,3,Dr.
заходити,49,8,to come in
зіткнення,49,9,collision
імператор,49,9,emperor
існувати,49,8,exist
істота,49,6,being
комітет,49,7,committee
кролик,49,6,rabbit
лес,49,3,forest
літа,49,4,summer
мая,49,3,May
меблі,49,5,furniture
мережа,49,6,chain
морозиво,49,8,ice cream
недобре,49,7,evil
нічний,49,6,night
отримувати,49,10,get
перерва,49,7,break
повісити,49,8,hang up
походження,49,10,origin
приємний,49,8,pleasant
приступ,49,7,attack
свят,49,4,holidays
серйозний,49,9,serious
синдром,49,7,syndrome
скарб,49,5,treasure
слух,49,4,hearing
сміятися,49,8,laugh
співчуття,49,9,compassion
спорт,49,5,sport
стакан,49,6,glass
становище,49,9,position
стрес,49,5,stress
тривога,49,7,anxiety
університет,49,11,university
файно,49,5,nicely
фанат,49,5,fan
частіше,49,7,more often
щонайменше,49,10,at least
будувати,48,8,build
видіння,48,7,vision
вмирати,48,7,to die
вплив,48,5,influence
вражений,48,8,affected
дівчатами,48,9,girls
засмучений,48,10,sorry
зловити,48,7,catch
зруйнувати,48,10,to destroy
ігор,48,4,games
кара,48,4,punishment
кг,48,2,kg
коктейль,48,8,cocktail
консультант,48,11,consultant
молодчина,48,9,well done
нік,48,3,nickname
нора,48,4,hole
патруль,48,7,patrol
плащ,48,4,cloak
поводитися,48,10,behave
пограбування,48,12,robbery
поділитися,48,10,share
політика,48,8,policy
правильний,48,10,correct
прохід,48,6,pass
реальність,48,10,reality
революція,48,9,revolution
свідок,48,6,witness
скандал,48,7,scandal
тисяча,48,6,thousand
четвертий,48,9,fourth
ау,47,2,au
бренді,47,6,brandy
важливіше,47,9,more important
відвести,47,8,to take away
відповідно,47,10,in accordance
грім,47,4,thunder
департамент,47,11,department
диван,47,5,sofa
діра,47,4,hole
дочекатися,47,10,to wait
ефект,47,5,effect
єпископ,47,7,bishop
записати,47,8,to record
здатність,47,9,ability
зліва,47,5,left
зникнути,47,8,disappear
золотий,47,7,gold
королівство,47,11,kingdom
кретин,47,6,cretin
кшталт,47,6,kind of
лівий,47,5,left
мінімум,47,7,minimum
мінус,47,5,minus
нагода,47,6,opportunity
плече,47,5,shoulder
повія,47,5,prostitute
пожениться,47,10,will get married
помруть,47,7,will die
привітати,47,9,welcome
пропустити,47,10,miss
сік,47,3,juice
сіті,47,4,City
скласти,47,7,to compose
чинити,47,6,do
швидкий,47,7,fast
яблуко,47,6,apple
вівторок,46,8,Tuesday
внести,46,6,to contribute
вовк,46,4,wolf
втім,46,4,however
дикий,46,5,wild
закінчення,46,10,end
заповіт,46,7,will
засідання,46,9,meeting
іч,46,2,ich
керування,46,9,management
книжка,46,6,book
коробка,46,7,box
лікарня,46,7,hospital
найголовніше,46,12,the most important thing
наречений,46,9,fiance
отрута,46,6,poison
післязавтра,46,11,day after tomorrow
побачитися,46,10,see you later
помста,46,6,revenge
ріка,46,4,river
турбувати,46,9,disturb
удвох,46,5,together
унизу,46,5,down
шрам,46,4,scar
бачення,45,7,vision
блок,45,4,bloc
богів,45,5,gods
версія,45,6,version
вирішення,45,9,solution
вірш,45,4,verse
вулиця,45,6,street
голод,45,5,famine
гордість,45,8,pride
дельта,45,6,delta
дурне,45,5,stupid
здійснити,45,9,to carry out
зусилля,45,7,effort
кільце,45,6,ring
криза,45,5,crisis
круг,45,4,circle
легкий,45,6,light
мотив,45,5,motive
мужність,45,8,courage
мюзикл,45,6,musical
одинадцять,45,10,eleven
охоронець,45,9,guardian
парі,45,4,bet
персонаж,45,8,character
півдня,45,6,half-day
позиція,45,7,position
показ,45,5,show
пошук,45,5,search
правління,45,9,rule
пред,45,4,before
проклятий,45,9,cursed
роза,45,4,rose
розділ,45,6,section
сенатор,45,7,senator
соус,45,4,sauce
супермен,45,8,superman
титул,45,5,title
тричі,45,5,three times
фокус,45,5,focus
чемодан,45,7,suitcase
штучка,45,6,thing
щоденник,45,8,diary
аналіз,44,6,analysis
біда,44,4,misfortune
блюдо,44,5,dish
виживання,44,9,survival
випробування,44,12,trial
випустити,44,9,release
вистачало,44,9,enough
вірний,44,6,TRUE
водночас,44,8,simultaneously
дорослі,44,7,adults
дріб,44,4,fraction
єднання,44,7,unity
звір,44,4,beast
зле,44,3,bad
зрада,44,5,treason
йорк,44,4,York
кайф,44,4,buzz
копати,44,6,dig
наперед,44,7,in advance
ніндзя,44,6,ninja
овва,44,4,oh my
округ,44,5,county
ото,44,3,that's it
переїхати,44,9,to move
подолати,44,8,overcome
поженились,44,10,got married
посередині,44,10,in the middle
пост,44,4,post
реакція,44,7,reaction
розраховувати,44,13,expect
сет,44,3,set
слабкість,44,9,weakness
спокійний,44,9,calm
старка,44,6,old woman
створіння,44,9,creature
тачка,44,5,wheelbarrow
темний,44,6,dark
травма,44,6,trauma
уночі,44,5,at night
холод,44,5,cold
аякже,43,5,of course
безлад,43,6,mess
безперечно,43,10,undoubtedly
бійка,43,5,fray
близькі,43,7,close
викрадення,43,10,kidnapping
висновок,43,8,conclusion
відсвяткувати,43,13,to celebrate
вчинок,43,6,act
генератор,43,9,generator
гнів,43,4,anger
господу,43,7,Lord
дівка,43,5,girl
жорстоко,43,8,cruelly
згадувати,43,9,remember
здати,43,5,to hand over
із-за,43,5,because of
клей,43,4,glue
колесо,43,6,wheel
користуватися,43,13,use
королів,43,7,kings
космічний,43,9,space
магія,43,5,magic
мадмуазель,43,10,mademoiselle
містечко,43,8,small town
мовчання,43,8,silence
наляканий,43,9,frightened
немало,43,6,many
о-о,43,3,oh-oh
підвал,43,6,basement
плаття,43,6,dress
поведінка,43,9,behavior
подати,43,6,to submit
подих,43,5,breath
рим,43,3,Rome
сволота,43,7,bastard
страховка,43,9,insurance
ум,43,2,mind
чари,43,4,spell
шахи,43,4,chess
шматочок,43,8,piece
американський,42,13,American
арешт,42,5,arrest
бридж,42,5,bridge
відомі,42,6,known
гольф,42,5,golf
діється,42,7,is happening
європи,42,6,Europe
залізний,42,8,iron
знайома,42,7,acquaintance
кухня,42,5,kitchen
лев,42,3,lion
ля,42,2,la
міністерство,42,12,ministry
міцніше,42,7,stronger
намагатися,42,10,try
напис,42,5,inscription
невеликий,42,9,little
неподалік,42,9,nearby
підпис,42,6,signature
промінь,42,7,beam
прощання,42,8,farewell
рюкзак,42,6,backpack
сеньйор,42,7,seigneur
совість,42,7,conscience
сорочка,42,7,shirt
стілець,42,7,chair
сумка,42,5,bag
ховатися,42,8,hide
швидка,42,6,ambulance
бабця,41,5,grandmother
багатий,41,7,rich
більший,41,7,more
браслет,41,7,bracelet
ванна,41,5,bath
вздовж,41,6,along
винний,41,6,guilty
випускний,41,9,graduation
влітку,41,6,in the summer
вчити,41,5,to teach
гном,41,4,gnome
двір,41,4,court
доглядати,41,9,care
жар,41,3,heat
замовити,41,8,order
здаватися,41,9,seem
змінитися,41,9,to change
ич,41,2,ich
кидати,41,6,throw
курча,41,5,chicken
мартіні,41,7,Martini
медаль,41,6,medal
мисливець,41,9,hunter
місцевий,41,8,local
нагадати,41,8,remind
наприкінці,41,10,at the end
небезпека,41,9,danger
несподіванка,41,12,accident
оглянути,41,8,view
перебування,41,11,stay
пила,41,4,saw
підкинути,41,9,toss
подарувати,41,10,present
почерк,41,6,handwriting
прогрес,41,7,progress
прощення,41,8,forgiveness
середній,41,8,average
спеціально,41,10,specially
так-то,41,6,so-and-so
творець,41,7,creator
тихий,41,5,quiet
труднощі,41,8,difficulty
тягар,41,5,burden
ферма,41,5,farm
чудеса,41,6,miracles
шампанське,41,10,Champagne
шикування,41,9,alignment
шона,41,4,Shona
бейсбол,40,7,baseball
благо,40,5,good
брудний,40,7,dirty
вдарити,40,7,hit
вивести,40,7,to withdraw
виправдання,40,11,justification
вокзал,40,6,station
ворон,40,5,raven
гавань,40,6,harbor
гай,40,3,grove
джем,40,4,jam
доставити,40,9,deliver
живцем,40,6,alive
загроза,40,7,threat
задати,40,6,to ask
кола,40,4,circles
кузен,40,5,cousin
молитися,40,8,pray
напасти,40,7,to attack
напрямок,40,8,direction
наркоман,40,8,addict
насрати,40,7,to shit
обговорювати,40,12,discuss
опівночі,40,8,at midnight
підозрюваний,40,12,suspect
поховати,40,8,bury
почуватися,40,10,to feel
пояс,40,4,belt
предмет,40,7,subject
приголомшливо,40,13,amazingly
природно,40,8,naturally
рахувати,40,8,count
риса,40,4,feature
робочий,40,7,working
самостійно,40,10,independently
самотньо,40,8,alone
сейф,40,4,safe
соль,40,4,G
спина,40,5,back
спокійніше,40,10,calmer
сюжет,40,5,plot
татусь,40,6,daddy
фестиваль,40,9,festival
хвиля,40,5,wave
хлопчиків,40,9,boys
шар,40,3,layer
щораз,40,5,every time
блог,39,4,blog
вдова,39,5,widow
виконання,39,9,implementation
витрачати,39,9,spend
відмінний,39,9,distinctive
відпустка,39,9,leave
восьми,39,6,eight
гімно,39,5,anthem
дама,39,4,lady
домовитися,39,10,agree
епізод,39,6,episode
заарештувати,39,12,arrest
загинути,39,8,to die
засранець,39,9,asshole
зізнатися,39,9,to confess
змінювати,39,9,change
зо,39,2,from
карлик,39,6,dwarf
ковбой,39,6,cowboy
коханець,39,8,lover
лікарів,39,7,doctors
марс,39,4,Mars
милість,39,7,mercy
мосьє,39,5,Monsieur
навкруги,39,8,around
найгірший,39,9,worst
новак,39,5,novice
обережний,39,9,careful
організувати,39,12,organize
очікування,39,10,expectation
паркан,39,6,fence
перемістити,39,11,move
політ,39,5,flight
пошкодження,39,11,damage
прах,39,4,ashes
пробачення,39,10,excuse
пустити,39,7,to let go
слон,39,4,elephant
спілкуватися,39,12,communicate
ставити,39,7,put
страшний,39,8,terrible
стрибати,39,8,jump
сумний,39,6,sad
сумувати,39,8,grieve
творіння,39,8,creation
трагедія,39,8,tragedy
труси,39,5,shorts
хлопчисько,39,10,little boy
хріна,39,5,horseradish
шпигун,39,6,spy
явитися,39,7,to appear
багажник,38,8,trunk
бовдур,38,6,chump
бостон,38,6,Boston
братство,38,8,fraternity
бутерброд,38,9,sandwich
верх,38,4,top
веселий,38,7,cheerful
вивчати,38,7,study
вугілля,38,7,coal
гол,38,3,Goal
грант,38,5,grant
гуп,38,3,goop
дамочка,38,7,lady
документ,38,8,document
доти,38,4,until
закоханий,38,9,in love
заробляти,38,9,earn
заряд,38,5,charge
звичайне,38,8,ordinary
зникнення,38,9,disappearance
ідеальний,38,9,ideal
кнопка,38,6,button
лягти,38,5,to lie down
малюнок,38,7,picture
мілорд,38,6,milord
місцеві,38,7,local
найменше,38,8,least
налякати,38,8,scare
організація,38,11,organization
офіцерів,38,8,officers
певне,38,5,certain
підтвердження,38,13,confirmation
підтримка,38,9,support
полювати,38,8,hunt
пригадати,38,9,to remember
приховати,38,9,hide
прослуховування,38,15,listening
пусто,38,5,empty
радянський,38,10,Soviet
рапорт,38,6,report
редакція,38,8,version
реклама,38,7,advertising
розділити,38,9,divide
сірий,38,5,gray
скинути,38,7,cast
судно,38,5,ship
туман,38,5,fog
узбережжя,38,9,coast
філе,38,4,fillet
хутчіш,38,6,faster
чарівник,38,8,magician
шолом,38,5,helmet
авеню,37,5,avenue
автомат,37,7,automaton
безсумнівно,37,11,undoubtedly
бідолаха,37,8,poor thing
бодай,37,5,at least
винахід,37,7,invention
випромінювання,37,14,radiation
відділення,37,10,department
відділок,37,8,department
відкривати,37,10,open
вічність,37,8,eternity
вуду,37,4,voodoo
гад,37,3,snake
ген,37,3,gene
де-небудь,37,9,somewhere
ді,37,2,di
ех,37,2,eh
заважати,37,8,interfere
запросто,37,8,easily
заступник,37,9,deputy
зграя,37,5,flock
зненацька,37,9,suddenly
зоопарк,37,7,zoo
зупинка,37,7,stop
капрал,37,6,corporal
кит,37,3,whale
колега,37,6,colleague
конкурс,37,7,competition
конфлікт,37,8,conflict
кристал,37,7,crystal
лось,37,4,elk
людський,37,8,human
майно,37,5,property
навмисно,37,8,deliberately
надворі,37,7,outside
невеличкий,37,10,small
негідник,37,8,scoundrel
норман,37,6,Norman
обман,37,5,deception
означати,37,8,mean
онлайн,37,6,online
очистити,37,8,to clean
панно,37,5,panel
перекусити,37,10,have a bite
пишатися,37,8,boast
підтвердити,37,11,confirm
помешкання,37,10,accommodation
попередній,37,10,previous
птаха,37,5,bird
раунд,37,5,round
розташування,37,12,arrangement
сидіння,37,7,seat
смертельно,37,10,deadly
сперечатися,37,11,argue
страждання,37,10,suffering
страсть,37,7,passion
судити,37,6,judge
сусідів,37,7,neighbors
темрява,37,7,darkness
триста,37,6,three hundred
фотографія,37,10,photo
хвилина,37,7,minute
цінність,37,8,value
шли,37,3,were going
банджо,36,6,banjo
біг,36,3,run
богиня,36,6,goddess
бокс,36,4,boxing
вдвічі,36,6,double
вдіяти,36,6,do
випуск,36,6,output
високість,36,9,height
виступати,36,9,speak
відносно,36,8,relatively
втручання,36,9,intervention
газета,36,6,newspaper
горнятко,36,8,cup
діамант,36,7,diamond
жид,36,3,Jew
звернутися,36,10,to apply
зілля,36,5,potion
клопіт,36,6,trouble
копія,36,5,copy
коридор,36,7,corridor
красивий,36,8,beautiful
красота,36,7,beauty
крем,36,4,cream
лабораторія,36,11,laboratory
луна,36,4,echo
маска,36,5,mask
мед,36,3,honey
метал,36,5,metal
надзвичайний,36,12,extraordinary
невинний,36,8,innocent
неділя,36,6,Sunday
неймовірне,36,10,incredible
ненавидіти,36,10,hate
обдурити,36,8,to deceive
образити,36,8,to offend
обраний,36,7,elect
особистий,36,9,personal
особистість,36,11,personality
перестати,36,9,to stop
підвезти,36,8,to give a lift
підтримати,36,10,to support
підхід,36,6,approach
пілот,36,5,pilot
плата,36,5,pay
подать,36,6,to submit
подвійний,36,9,double
попри,36,5,despite
посадити,36,8,plant
пояснювати,36,10,explain
провал,36,6,failure
пташка,36,6,birdie
раса,36,4,race
робот,36,5,robot
розслабитися,36,12,relax
секретар,36,8,secretary
см,36,2,cm
смертний,36,8,deadly
співпрацювати,36,13,to cooperate
справедливість,36,14,justice
сусіда,36,6,neighbor
таймс,36,5,times
трата,36,5,waste
фірма,36,5,firm
цикл,36,4,cycle
чверть,36,6,quarter
чесний,36,6,honest
янгол,36,5,angel
аборт,35,5,abortion
аксель,35,6,axel
безпечний,35,9,safe
бета,35,4,beta
блискавка,35,9,lightning
блондинка,35,9,blonde
вигнати,35,7,expel
вистачило,35,9,enough
встигнути,35,9,catch
гайда,35,5,guide
грн,35,3,UAH
дівчисько,35,9,girl
екран,35,5,screen
жучок,35,5,bug
захотілося,35,10,wanted
знизу,35,5,from below
інтерес,35,7,interest
келих,35,5,glass
марсель,35,7,Marseille
милосердний,35,11,merciful
найняти,35,7,to hire
недоумок,35,8,idiot
ноутбук,35,7,laptop
омар,35,4,lobster
отримання,35,9,receiving
передача,35,8,transfer
перл,35,4,pearl
перо,35,4,pen
поважати,35,8,respect
погодитися,35,10,to agree
посидіти,35,8,to sit
посольство,35,10,embassy
похід,35,5,campaign
принцип,35,7,principle
приховувати,35,11,hide
пушка,35,5,cannon
річка,35,5,river
ручка,35,5,handle
серденько,35,9,dear
солоденький,35,11,sweet
стількох,35,8,so many
сукня,35,5,dress
трьома,35,6,three
тунель,35,6,tunnel
фронт,35,5,front
чарівний,35,8,charming
шляк,35,4,slag
агентство,34,9,agency
акме,34,4,acme
ба,34,2,ba
бур,34,3,Boer
вага,34,4,weight
вартість,34,8,cost
виявити,34,7,reveal
гарчання,34,8,growl
гівно,34,5,shit
графік,34,6,schedule
дебіл,34,5,moron
декількох,34,9,several
дзвін,34,5,bell
дитинка,34,7,baby
еее,34,3,eeee
ест,34,3,est
житло,34,5,dwelling
запас,34,5,stock
записка,34,7,note
зарано,34,6,too early
здобич,34,6,prey
зелені,34,6,green
йой,34,3,yoi
ікс,34,3,X
капець,34,6,slipper
квартал,34,7,quarter
кейс,34,4,case
командування,34,12,command
комплекс,34,8,complex
кохати,34,6,love
куртка,34,6,jacket
ловити,34,6,catch
нагорода,34,8,award
надіслати,34,9,send
напоготові,34,10,ready
неподалеку,34,10,nearby
овець,34,5,sheep
ось-ось,34,7,about to
отвір,34,5,hole
переспати,34,9,to sleep over
письменник,34,10,writer
поранення,34,9,wound
портрет,34,7,portrait
представник,34,11,representative
преподобний,34,11,reverend
прикриття,34,9,cover
продовження,34,11,continuation
птах,34,4,bird
роб,34,3,work
рожевий,34,7,pink
сеанс,34,5,session
соло,34,4,solo
спекотно,34,8,hot
територія,34,9,territory
укол,34,4,prick
уникати,34,7,avoid
утримувати,34,10,hold
чудес,34,5,miracles
аварія,33,6,accident
апарат,33,6,apparatus
балакати,33,8,chat
баланс,33,6,balance
бунт,33,4,riot
вдруге,33,6,again
вислухати,33,9,to listen
вистава,33,7,performance
візит,33,5,visit
вмерти,33,6,to die
внесок,33,6,contribution
впасти,33,6,to fall
вставати,33,8,get up
дзен,33,4,Zen
догори,33,6,up
додаток,33,7,addition
долина,33,6,valley
експерт,33,7,expert
ефір,33,4,ether
жовтий,33,6,yellow
запит,33,5,request
зашкодити,33,9,to harm
збільшити,33,9,increase
зосередитися,33,12,to concentrate
зсередини,33,9,from inside
колодязь,33,8,well
команданте,33,10,commander
комісія,33,7,commission
ланцюг,33,6,chain
лоб,33,3,forehead
малі,33,4,small
мерзота,33,7,abomination
мерзотник,33,9,scoundrel
милосердя,33,9,mercy
незалежно,33,9,regardless
ніжно,33,5,soft
норма,33,5,norm
пардон,33,6,sorry
перевезти,33,9,to transport
переконаний,33,11,convinced
підйом,33,6,lift
плавець,33,7,swimmer
повелитель,33,10,lord
подорожувати,33,12,travel
познайомити,33,11,introduce
покликати,33,9,call
пологи,33,6,childbirth
помститися,33,10,take revenge
порт,33,4,port
по-своєму,33,9,in his own way
посол,33,5,ambassador
прибирати,33,9,clean up
прибуток,33,8,profit
прийми,33,6,accept
прогулятися,33,11,take a walk
проникнути,33,10,to penetrate
прорив,33,6,breakthrough
протистояти,33,11,resist
револьвер,33,9,revolver
резюме,33,6,resume
рекс,33,4,rex
святкувати,33,10,celebrate
священник,33,9,priest
сексуальний,33,11,sexual
сема,33,4,sema
спадок,33,6,legacy
спасіння,33,8,salvation
старт,33,5,start
сховати,33,7,hide
тайна,33,5,secret
техніка,33,7,machinery
тихше,33,5,more quietly
тук,33,3,fat
убивця,33,6,killer
убитий,33,6,killed
фінал,33,5,final
частка,33,6,fraction
черговий,33,8,regular
шістдесят,33,9,sixty
шосе,33,4,highway
щороку,33,6,annually
якнайшвидше,33,11,as soon as possible
аллах,32,5,Allah
альо,32,4,hello
альянс,32,6,alliance
берет,32,5,beret
бон,32,3,bon
вівця,32,5,sheep
відданий,32,8,devoted
відмовити,32,9,refuse
відчинити,32,9,open
вкрай,32,5,extremely
ворона,32,6,crow
глибокий,32,8,deep
грубий,32,6,rude
дарунок,32,7,gift
двом,32,4,two
деталь,32,6,detail
дитинство,32,9,childhood
дитячий,32,7,baby
ділитися,32,8,share
допустити,32,9,to allow
завершення,32,10,completion
заживо,32,6,alive
звинувачувати,32,13,blame
злегка,32,6,slightly
злом,32,4,evil
зростання,32,9,growth
зручніше,32,8,more convenient
інструмент,32,10,tool
карантин,32,8,quarantine
кішка,32,5,cat
лазер,32,5,laser
монтаж,32,6,assembling
нанести,32,7,to apply
обшук,32,5,search
одинокий,32,8,alone
одягнений,32,9,dressed
па-па,32,5,pope
паша,32,4,pasha
півтора,32,7,one and a half
полк,32,4,regiment
праця,32,5,work
раб,32,3,slave
радше,32,5,rather
салон,32,5,salon
спортзал,32,8,gym
сраний,32,6,shitty
ста,32,3,one hundred
стеження,32,8,tracking
стрій,32,5,order
студент,32,7,student
товстий,32,7,thick
турнір,32,6,tournament
учень,32,5,student
фінансування,32,12,financing
фон,32,3,background
фотограф,32,8,photographer
алібі,31,5,alibi
алілуя,31,6,hallelujah
аспірин,31,7,aspirin
бандит,31,6,bandit
безпека,31,7,security
вдалий,31,6,successful
вереск,31,6,scream
висловити,31,9,express
вівці,31,5,sheep
віддавати,31,9,to give
відновлення,31,11,restoration
втрата,31,6,loss
гачок,31,5,hook
діяльність,31,10,activity
дотримуватися,31,13,follow
дурниця,31,7,nonsense
елемент,31,7,element
жених,31,5,groom
забирати,31,8,take away
застосування,31,12,application
звести,31,6,to build
звільнений,31,10,liberated
здолати,31,7,overcome
змиритися,31,9,to reconcile
знімок,31,6,photo
інститут,31,8,institute
картка,31,6,card
квіточка,31,8,floweret
кіло,31,4,kilo
кулак,31,5,fist
лють,31,4,rage
майна,31,5,property
моторошно,31,9,creepy
мріяти,31,6,dream
насіння,31,7,seed
передбачити,31,11,to predict
позов,31,5,claim
покер,31,5,poker
потвора,31,7,monster
прожити,31,7,to live
просьба,31,7,request
пуститися,31,9,to start
реальний,31,8,real
руль,31,4,steering wheel
сексі,31,5,sexy
сервер,31,6,server
серцевий,31,8,cardiac
сіль,31,4,salt
скотина,31,7,cattle
славно,31,6,glorious
слідом,31,6,following
сотня,31,5,hundred
спілкування,31,11,communion
срака,31,5,asshole
ставлення,31,9,attitude
суші,31,4,sushi
трус,31,4,coward
умри,31,4,die
униз,31,4,down
фраза,31,5,phrase
шостий,31,6,sixth
штаб,31,4,headquarters
ясна,31,4,gums
ар,30,2,ar
бекон,30,5,bacon
бокал,30,5,goblet
боксер,30,6,boxer
бонус,30,5,bonus
ввести,30,6,to introduce
вголос,30,6,out loud
вдих,30,4,breath
вивчити,30,7,to study
винести,30,7,to carry out
відданість,30,10,devotion
віднести,30,8,to attribute
віл,30,3,ox
врожай,30,6,harvest
вчений,30,6,scientist
гелікоптер,30,10,helicopter
голуб,30,5,dove
гурт,30,4,group
дбати,30,5,care
домашній,30,8,homely
жест,30,4,gesture
завдати,30,7,to inflict
задом,30,5,backwards
заздалегідь,30,11,in advance
запустити,30,9,launch
зібратися,30,9,to gather
зір,30,3,vision
зроблений,30,9,made
керівництво,30,11,leadership
корисно,30,7,useful
куль,30,4,bullets
курити,30,6,smoke
мадемуазель,30,11,mademoiselle
медіа,30,5,media
молодь,30,6,young
мона,30,4,Mona
мотлох,30,6,junk
напій,30,5,drink
неминуче,30,8,inevitably
обома,30,5,both
опинитися,30,9,to turn out
отам,30,4,over there
очікувати,30,9,to expect
підготувати,30,11,prepare
підібрати,30,9,pick up
позбавити,30,9,deprive
поїздка,30,7,trip
покарати,30,8,punish
помрете,30,7,you will die
попкорн,30,7,popcorn
посмішка,30,8,smile
пошукати,30,8,to search
привабливий,30,11,attractive
прикол,30,6,joke
прикрий,30,7,annoying
пророцтво,30,9,prophecy
прямий,30,6,direct
радіти,30,6,rejoice
ризиковано,30,10,risky
рости,30,5,grow
руйнування,30,10,destruction
самотність,30,10,solitude
свисток,30,7,whistle
симпатичний,30,11,sympathetic
сір,30,3,gray
скількох,30,8,how many
смішний,30,7,funny
солідарність,30,12,solidarity
спадкоємець,30,11,heir
спальня,30,7,bedroom
спереду,30,7,in front
срібло,30,6,silver
строго,30,6,strictly
схопити,30,7,seize
сьогоднішній,30,12,today
темп,30,4,tempo
торкатися,30,9,touch
тривати,30,7,last
хата,30,4,cottage
щотижня,30,7,weekly
яко,30,3,as if
атмосфера,29,9,atmosphere
баскетбол,29,9,basketball
безнадійно,29,10,hopelessly
бек,29,3,back
бісів,29,5,demons
благословення,29,13,blessing
близький,29,8,near
бран,29,4,bran
брі,29,3,Brie
будівля,29,7,building
букет,29,5,bouquet
бургер,29,6,burger
вантажівка,29,10,truck
весна,29,5,spring
вибиратися,29,10,to get out
вигадати,29,8,invent
випадковість,29,12,accident
відкласти,29,9,postpone
вліво,29,5,left
гидота,29,6,abomination
гравець,29,7,player
гравітація,29,10,gravitation
грязь,29,5,mud
дивовижний,29,10,amazing
заперечувати,29,12,deny
запобігти,29,9,prevent
застосувати,29,11,apply
зберігання,29,10,storage
з-за,29,4,because of
зменшити,29,8,reduce
кадр,29,4,frame
карате,29,6,karate
карма,29,5,karma
кисень,29,6,oxygen
козла,29,5,goat
корпус,29,6,corps
лад,29,3,system
лин,29,3,tench
листя,29,5,leaf
лікувати,29,8,treat
міліція,29,7,police
молод,29,5,young
навмисне,29,8,intentionally
наркотик,29,8,drug
нестерпно,29,9,unbearable
няня,29,4,nurse
огляд,29,5,review
оголосити,29,9,to announce
одержимий,29,9,obsessed
озброєний,29,9,armed
охороняти,29,9,protect
очок,29,4,points
пеніс,29,5,penis
пень,29,4,stump
переночувати,29,12,spend the night
писок,29,5,nose
південний,29,9,southern
північний,29,9,northern
підсудний,29,9,defendant
позову,29,6,lawsuit
показувати,29,10,show
поміняти,29,8,change
помітити,29,8,to notice
поні,29,4,pony
потік,29,5,flow
приємне,29,7,pleasant
прізвисько,29,10,nickname
пудинг,29,6,pudding
розбити,29,7,break
салют,29,5,salute
слабак,29,6,weakling
слабо,29,5,weakly
солодкий,29,8,sweet
соул,29,4,soul
спинити,29,7,to stop
сталь,29,5,steel
створювати,29,10,create
сторіччя,29,8,century
стратегія,29,9,strategy
стрибок,29,7,jump
студія,29,6,studio
сума,29,4,sum
товариство,29,10,company
трапитися,29,9,to happen
тупик,29,5,impasse
укус,29,4,bite
уперше,29,6,first
форт,29,4,fort
цікавіше,29,8,more interesting
шах,29,3,shah
широкий,29,7,wide
шия,29,3,neck
шланг,29,5,hose
юний,29,4,young
барбекю,28,7,barbecue
бардак,28,6,mess
безпечніше,28,10,safer
блокнот,28,7,notebook
боком,28,5,sideways
бордель,28,7,brothel
ваги,28,4,balance
веселощі,28,8,merriment
викрасти,28,8,to steal
відрізати,28,9,cut off
відро,28,5,bucket
внутрішній,28,10,internal
врата,28,5,gate
гідний,28,6,worthy
горілка,28,7,vodka
деінде,28,6,elsewhere
декан,28,5,dean
джонатан,28,8,Jonathan
джунглі,28,7,jungle
диспетчер,28,9,dispatcher
долар,28,5,dollar
донизу,28,6,down
другові,28,7,to a friend
забезпечити,28,11,to provide
задовго,28,7,long time ago
запал,28,5,fervor
збоку,28,5,from the side
збоченець,28,9,pervert
ймовірність,28,11,probability
кошик,28,5,basket
красунчик,28,9,Adonis
ланч,28,4,lunch
любитель,28,8,amateur
малювати,28,8,draw
машинка,28,7,typewriter
мерседес,28,8,Mercedes
міцний,28,6,sturdy
нагодувати,28,10,to feed
най,28,3,most
напасть,28,7,adversity
наряд,28,5,dress
натхнення,28,9,inspiration
немовля,28,7,baby
необхідне,28,9,necessary
непотріб,28,8,useless
огидний,28,7,disgusting
онук,28,4,grandson
орел,28,4,eagle
оркестр,28,7,orchestra
пай,28,3,share
передо,28,6,in front
периметр,28,8,perimeter
піаніно,28,7,piano
плід,28,4,fruit
пляшка,28,6,bottle
полагодити,28,10,repair
положення,28,9,position
поодинці,28,8,alone
потенціал,28,9,potential
почитати,28,8,to read
пошта,28,5,mail
примусити,28,9,force
пристрасть,28,10,passion
психопат,28,8,psychopath
розбудити,28,9,wake up
розповідь,28,9,tell
розрив,28,6,gap
розчарований,28,12,disappointed
розчарування,28,12,disappointment
самотужки,28,9,alone
святкування,28,11,celebration
серіал,28,6,serial
слухання,28,8,hearing
смертельний,28,11,mortal
сміливий,28,8,bold
спеціальний,28,11,special
страйк,28,6,strike
стукіт,28,6,knock
тпру,28,4,tpru
турка,28,5,Turk
турок,28,5,Turk
фіга,28,4,fig
фортеця,28,7,fortress
фрау,28,4,Frau
футболка,28,8,T-shirt
хитрий,28,6,cunning
хотіти,28,6,want
хтозна,28,6,who knows
церемонія,28,9,ceremony
шахта,28,5,mine
